id,substance,other_names,used_for
304-59-6,SODIUM POTASSIUM TARTRATE,"POTASSIUM SODIUM TARTRATE; BUTANEDIOIC ACID, 2,3-DIHYDROXY- (R-(R*,R*))-, MONOPOTASSIUM MONOSODIUM SALT; MONOPOTASSIUM MONOSODIUM 2,3-DIHYDROXYBUTANEDIOATE, (R-(R*,R*)); MONOPOTASSIUM MONOSODIUM TARTRATE; POTASSIUM SODIUM L(+)-TARTRATE; SODIUM POTASSIUM TARTRATE; TARTARIC ACID, MONOPOTASSIUM MONOSODIUM SALT; SODIUM POTASSIUM L-TARTRATE",EMULSIFIER OR EMULSIFIER SALT; PH CONTROL AGENT; SEQUESTRANT
7722-88-5,SODIUM PYROPHOSPHATE,"TETRASODIUM PYROPHOSPHATE; DIPHOSPHORIC ACID, TETRASODIUM SALT; PYROPHOSPHORIC ACID, TETRASODIUM SALT; SODIUM PYROPHOSPHATE; TETRASODIUM DIPHOSPHATE; TSPP; SODIUM DIPHOSPHATE, ANHYDROUS; SODIUM DIPHOSPHATE; SODIUM PYROPHOSPHATE, TETRABASIC",ANTICAKING AGENT OR FREE-FLOW AGENT; DRYING AGENT; EMULSIFIER OR EMULSIFIER SALT; FORMULATION AID; HUMECTANT; PH CONTROL AGENT; SEQUESTRANT; STABILIZER OR THICKENER
533-96-0,SODIUM SESQUICARBONATE,"SODIUM SESQUICARBONATE; CARBONIC ACID, SODIUM SALT (2:3); SODIUM CARBONATE (3:2)",PH CONTROL AGENT
7757-83-7,SODIUM SULFITE,"SODIUM SULFITE; SODIUM SULFITE, ANHYDROUS; SODIUM SULFITE, EXSICCATED; SULFUROUS ACID, DISODIUM SALT; DISODIUM SULFITE (NA2SO3); SULFITE, SODIUM",ANTIOXIDANT; COLOR OR COLORING ADJUNCT; DOUGH STRENGTHENER; FLOUR TREATING AGENT; FORMULATION AID; OXIDIZING OR REDUCING AGENT; PH CONTROL AGENT
868-18-8,SODIUM TARTRATE,"SODIUM TARTRATE; SODIUM L-TARTRATE; BUTANEDIOIC ACID, 2,3-DIHYDROXY- (R-(R*,R*))-, DISODIUM SALT; DISODIUM 2,3-DIHYDROXYBUTANEDIOATE, (R-(R*,R*)); TARTARIC ACID, DISODIUM SALT; DISODIUM L-TARTRATE; SODIUM L(+)-TARTRATE",EMULSIFIER OR EMULSIFIER SALT; PH CONTROL AGENT; SEQUESTRANT
7758-29-4,SODIUM TRIPOLYPHOSPHATE,"SODIUM TRIPOLYPHOSPHATE; SODIUM TRIPHOSPHATE; SODIUM TRIPOLYPHOSPHATE, ANHYDROUS; STPP; TRIPHOSPHORIC ACID, PENTASODIUM SALT; SODIUM PHOSPHATE (NA5P3O10)",ANTICAKING AGENT OR FREE-FLOW AGENT; ANTIOXIDANT; DRYING AGENT; EMULSIFIER OR EMULSIFIER SALT; HUMECTANT; PH CONTROL AGENT; SEQUESTRANT; STABILIZER OR THICKENER; TEXTURIZER
977076-84-8,"SOY PROTEIN, ISOLATE","SOY PROTEIN ISOLATE; SOYBEAN PROTEIN ISOLATE; SOY PROTEIN, ISOLATED; ISOLATED SOY PROTEIN; SOY PROTEIN, ISOLATES; SOYA PROTEIN ISOLATES; SOY PROTEIN ISOLATE, ALKALI-TREATED",EMULSIFIER OR EMULSIFIER SALT; FORMULATION AID; NUTRIENT SUPPLEMENT; STABILIZER OR THICKENER; TEXTURIZER
7772-99-8,STANNOUS CHLORIDE,"TIN(II) CHLORIDE; STANNOUS CHLORIDE, ANHYDROUS; TIN DICHLORIDE; TIN CHLORIDE (SNCL2)",ANTIOXIDANT
65996-63-6,"STARCH, ACID MODIFIED","STARCH, ACID-MODIFIED; ACID-TREATED STARCH; STARCH, ACID-HYDROLYZED; STARCH, ACID-TREATED; STARCH, THIN-BOILING",
977075-42-5,"STARCH, BLEACHED","STARCH, BLEACHED; BLEACHED STARCH",
63798-35-6,"STARCH, FOOD, MODIFIED: ACETYLATED DISTARCH ADIPATE","DISTARCH ADIPATE, ACETYLATED; ACETYLATED DISTARCH ADIPATE; STARCH, ACETATE HEXANEDIOATE",DOUGH STRENGTHENER
53123-84-5,"STARCH, FOOD, MODIFIED: ACETYLATED DISTARCH GLYCEROL","DISTARCH GLYCEROL, ACETYLATED; ACETYLATED DISTARCH GLYCEROL; STARCH, ACETATE, ETHER WITH 1,2,3-PROPANETRIOL (2:1)",STABILIZER OR THICKENER
977120-10-7,"STARCH, FOOD, MODIFIED: ACETYLATED DISTARCH OXYPROPANOL","DISTARCH OXYPROPANOL, ACETYLATED; ACETYLATED DISTARCH OXYPROPANOL",
68130-14-3,"STARCH, FOOD, MODIFIED: ACETYLATED DISTARCH PHOSPHATE","DISTARCH PHOSPHATE, ACETYLATED; ACETYLATED DISTARCH PHOSPHATE; STARCH, ACETATE HYDROGEN PHOSPHATE",STABILIZER OR THICKENER
58944-89-1,"STARCH, FOOD, MODIFIED: DISTARCH GLYCEROL","DISTARCH GLYCEROL; STARCH, POLYMER WITH (CHLOROMETHYL)OXIRANE; POLY(EPICHLOROHYDRIN-CO-STARCH); POLY((CHLOROMETHYL)OXIRANE-CO-STARCH)",STABILIZER OR THICKENER
977043-57-4,"STARCH, FOOD, MODIFIED: DISTARCH OXYPROPANOL",DISTARCH OXYPROPANOL,STABILIZER OR THICKENER
9049-76-7,"STARCH, FOOD, MODIFIED: HYDROXYPROPYL STARCH","HYDROXYPROPYL STARCH; STARCH, 2-HYDROXYPROPYL ETHER; STARCH, HYDROXYPROPYLATED",STABILIZER OR THICKENER
68412-86-2,"STARCH, FOOD, MODIFIED: OXIDIZED HYDROXYPROPYL STARCH","HYDROXYPROPYL STARCH, OXIDIZED; STARCH, 2-HYDROXYPROPYL ETHER, OXIDIZED; STARCH, OXIDIZED HYDROXYPROPYLATED",STABILIZER OR THICKENER
9045-28-7,"STARCH, FOOD, MODIFIED: STARCH ACETATE","STARCH ACETATE; STARCH, ACETATE; STARCH, ACETYLATED; ACETYLATED STARCH",STABILIZER OR THICKENER
9087-61-0,"STARCH, FOOD, MODIFIED: STARCH ALUMINUM OCTENYL SUCCINATE","ALUMINUM STARCH OCTENYLSUCCINATE; ALUMINUM HYDROGEN OCTENYLBUTANEDIOATE; STARCH ALUMINUM OCTENYLSUCCINATE; STARCH, HYDROGEN OCTENYLBUTANEDIOATE, ALUMINUM SALT",STABILIZER OR THICKENER
11120-02-8,"STARCH, FOOD, MODIFIED: STARCH PHOSPHATE","STARCH PHOSPHATE; STARCH, PHOSPHATE",STABILIZER OR THICKENER
66829-29-6,"STARCH, FOOD, MODIFIED: STARCH SODIUM OCTENYL SUCCINATE","SODIUM STARCH OCTENYLSUCCINATE; STARCH SODIUM OCTENYLSUCCINATE; STARCH, HYDROGEN OCTENYLBUTANEDIOATE, SODIUM SALT; SODIUM OCTENYLSUCCINATE STARCH; STARCH OCTENYLSUCCINIC ANHYDRIDE MODIFIED; SODIUM STARCH HYDROGEN OCTENYLBUTANEDIOATE",STABILIZER OR THICKENER
37231-92-8,"STARCH, FOOD, MODIFIED: STARCH SODIUM SUCCINATE","SODIUM STARCH SUCCINATE; STARCH SODIUM SUCCINATE; STARCH, HYDROGEN BUTANEDIOATE, SODIUM SALT; SODIUM STARCH HYDROGEN BUTANEDIOATE",STABILIZER OR THICKENER
977043-59-6,"STARCH, FOOD, MODIFIED: SUCCINYL DISTARCH GLYCEROL",SUCCINYL DISTARCH GLYCEROL,STABILIZER OR THICKENER
7446-09-5,SULFUR DIOXIDE,SULFUR DIOXIDE; SULFUROUS ANHYDRIDE; SULFUROUS OXIDE; SULFUR SUPEROXIDE,ANTIMICROBIAL AGENT; ANTIOXIDANT; COLOR OR COLORING ADJUNCT; FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT
7664-93-9,SULFURIC ACID,SULFURIC ACID; OIL OF VITREOL; DIHYDROGEN SULFATE,FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT; FORMULATION AID; PH CONTROL AGENT; PROCESSING AID
977002-81-5,TAPIOCA STARCH,"STARCH, TAPIOCA; STARCH, CASSAVA; STARCH, MANIOCA; TAPIOCA STARCH; CASSAVA STARCH",NUTRITIVE SWEETENER; STABILIZER OR THICKENER
87-69-4,"TARTARIC ACID, L","TARTARIC ACID, L; BUTANEDIOIC ACID, 2,3-DIHYDROXY-, (R-(R*,R*)); 2,3-DIHYDROXYBUTANEDIOIC ACID, (R-(R*,R*)); DEXTROTARTARIC ACID; ALPHA,BETA-DIHYDROXYSUCCINIC ACID, D; TARTARIC ACID, L-(+)",ANTICAKING AGENT OR FREE-FLOW AGENT; DRYING AGENT; FIRMING AGENT; FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT; HUMECTANT; LEAVENING AGENT; PH CONTROL AGENT
