id,substance,other_names,used_for
879496-95-4,ACAI BERRY EXTRACT,"ACAI BERRY EXTRACT; euterpe oleracea, ext.",FLAVORING AGENT OR ADJUVANT
55589-62-3,ACESULFAME POTASSIUM,"POTASSIUM ACESULFAME; ACESULFAME K; POTASSIUM 6-METHYL-1,2,3-OXATHIAZIN-4(3H)-ONE 2,2-DIOXIDE; ACESULFAME POTASSIUM; 1,2,3-OXATHIAZIN-4(3H)-ONE, 6-METHYL-, 2,2-DIOXIDE, POTASSIUM SALT; ACESULFAME-K; ACESULFAM-K",NON-NUTRITIVE SWEETENER
105-57-7,ACETAL,"ACETAL; 1,1-DIETHOXYETHANE; DIETHYL ACETAL ACETALDEHYDE; ACETALDEHYDE DIETHYL ACETAL; ETHYLIDENE DIETHYL ETHER; ETHANE, 1,1-DIETHOXY; ACETALDEHYDE, DIETHYL ACETAL",FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT
75-07-0,ACETALDEHYDE,ACETALDEHYDE; ACETIC ALDEHYDE; ETHANAL; ACETIC ETHANOL; ETHYL ALDEHYDE,FLAVORING AGENT OR ADJUVANT
64577-91-9,"ACETALDEHYDE, BUTYL PHENETHYL ACETAL","ACETALDEHYDE BUTYL PHENETHYL ACETAL; BENZENE, (2-(1-BUTOXYETHOXY)ETHYL); (2-(1-BUTOXYETHOXY)ETHYL)BENZENE; 2-BUTOXY-2-PHENYLETHOXYETHANE",FLAVORING AGENT OR ADJUVANT
63449-64-9,ACETALDEHYDE DI-CIS-3-HEXENYL ACETAL,"ACETALDEHYDE DI-CIS-3-HEXENYL ACETAL; 3-hexene, 1,1'-(ethylidenebis(oxy))bis-, (3Z,3'Z); 1,1'-(ethylidenebis(oxy))bis(3-hexene), (3Z,3'Z); 1,1'-(ethylidenebis(oxy))bis(3-hexene), (Z,Z); InChI=1S/C14H26O2/c1-4-6-8-10-12-15-14(3)16-13-11-9-7-5-2/h6-9,14H,4-5,10-13H2,1-3H3/b8-6-,9-7; InChIKey: KCPFRJBAXWUXIG-VRHVFUOLSA-N",FLAVORING AGENT OR ADJUVANT
13002-09-0,ACETALDEHYDE DIISOAMYL ACETAL,"ACETALDEHYDE DIISOAMYL ACETAL; butane, 1,1'-(ethylidenebis(oxy))bis(3-methyl; acetaldehyde, diisopentyl acetal; 1,1-bis(isopentyloxy)ethane; 3-methyl-1-(1-(3-methylbutoxy)ethoxy)butane",FLAVORING AGENT OR ADJUVANT
5669-09-0,ACETALDEHYDE DI-ISOBUTYLACETAL,"ACETALDEHYDE DI-ISOBUTYLACETAL; propane,1,1'-(ethylidenebis(oxy))bis(2-methyl; 1,1'-(ethylidenebis(oxy))bis(2-methylpropane); acetaldehyde, diisobutyl acetal; ethane,1,1-diisobutoxy; 1,1-diisobutoxyethane; InChI=1S/C10H22O2/c1-8(2)6-11-10(5)12-7-9(3)4/h8-10H,6-7H2,1-5H3; InChIKey: KIELJSVPUISYCI-UHFFFAOYSA-N",FLAVORING AGENT OR ADJUVANT
28069-74-1,ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL,"ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL; ACETALDEHYDE, ETHYL 3-HEXENYL ACETAL, (Z); ETHYL CIS-3-HEXENYL ACETAL; ETHANE, 1-ETHOXY-1-(3-HEXENYLOXY)-, (Z); 3-HEXENE, 1-(1-ETHOXYETHOXY)-, (Z); 1-(1-ETHOXYETHOXY)-3-HEXENE, (Z); 1-ETHOXY-1-(3-HEXENYLOXY)ETHANE, (Z)",FLAVORING AGENT OR ADJUVANT
6986-51-2,ACETALDEHYDE ETHYL ISOBUTYL ACETAL,"ACETALDEHYDE ETHYL ISOBUTYL ACETAL; propane, 1-(1-ethoxyethoxy)-2-methyl; 1-(1-ethoxyethoxy)-2-methylpropane; acetaldehyde, ethyl isobutyl acetal; ethane, 1-ethoxy-1-isobutoxy; 1-ethoxy-1-isobutoxyethane; InChI=1S/C8H18O2/c1-5-9-8(4)10-6-7(2)3/h7-8H,5-6H2,1-4H3; InChIKey: YEKSEJHZJGHKBN-UHFFFAOYSA-N",FLAVORING AGENT OR ADJUVANT
25334-93-4,(+/-)-ACETALDEHYDE ETHYL ISOPROPYL ACETAL,"2-(1-ETHOXY)ETHOXYPROPANE; propane, 2-(1-ethoxyethoxy); 2-(1-ethoxyethoxy)propane; acetaldehyde, ethyl isopropyl acetal; ethyl isopropyl acetal acetaldehyde; ethane, 1-ethoxy-1-isopropoxy; 1-ethoxy-1-isopropoxyethane; acetaldehyde ethyl isopropyl acetal",FLAVORING AGENT OR ADJUVANT
233665-90-2,ACETALDEHYDE HEXYL ISOAMYL ACETAL,"ACETALDEHYDE HEXYL ISOAMYL ACETAL; hexane, 1-(1-(3-methylbutoxy)ethoxy); 1-(1-(3-methoxybutoxy)ethoxy)hexane",FLAVORING AGENT OR ADJUVANT
202188-43-0,"ACETALDEHYDE 1,3-OCTANEDIOL ACETAL","ACETALDEHYDE 1,3-OCTANEDIOL ACETAL; InChI=1S/C10H20O2/c1-3-4-5-6-10-7-8-11-9(2)12-10/h9-10H,3-8H2,1-2H3; InChIKey: NZTUUEJEMACERX-UHFFFAOYSA-N; 1,3-dioxolane, 2-methyl-4-pentyl; 2-methyl-4-pentyl-1,3-dioxolane",FLAVORING AGENT OR ADJUVANT
7493-57-4,ACETALDEHYDE PHENETHYL PROPYL ACETAL,"ACETALDEHYDE PHENETHYL PROPYL ACETAL; ACETAL R; (2-(1-PROPOXYETHOXY)ETHYL)BENZENE; BENZENE, (2-(1-PROPOXYETHOXY)ETHYL); ACETALDEHYDE, PHENETHYL PROPYL ACETAL; PEPITAL; PROPYL PHENETHYL ACETAL; PHENETHYL PROPYL ACETAL; 1-PHENETHOXY-1-PROPOXYETHANE",FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT
60-35-5,ACETAMIDE--NLFG,"ACETAMIDE; ETHANAMIDE; InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4); InChIKey: DLFVBJFMPXGRIB-UHFFFAOYSA-N",FLAVORING AGENT OR ADJUVANT
100-06-1,ACETANISOLE,"ACETANISOLE; 4'-METHOXYACETOPHENONE; METHOXYACETOPHENONE, P; ACETYLANISOLE, P; METHYL 4-METHOXYPHENYL KETONE; NOVATONE; 4-ACETYLANISOLE; ETHANONE, 1-(4-METHOXYPHENYL); 1-(4-METHOXYPHENYL)ETHANONE; ACETOPHENONE, 4'-METHOXY; ANISYL, P-, METHYL KETONE",FLAVORING AGENT OR ADJUVANT
108-24-7,ACETIC ANHYDRIDE,"ACETIC ANHYDRIDE; ACETIC ACID ANHYDRIDE; ACETIC OXIDE; ACETYL ACETATE; ACETYL ANHYDRIDE; ACETYL ETHER; ACETYL OXIDE; ETHANOIC ANHYDRIDE; ACETIC ACID, ANHYDRIDE",FLAVORING AGENT OR ADJUVANT
513-86-0,ACETOIN,"ACETOIN; ACETYL METHYL CARBINOL; 3-HYDROXY-2-BUTANONE; ACETHOIN; DIMETHYLKETOL; GAMMA-HYDROXY-BETA-OXOBUTANE; 2,3-BUTANOLONE; 2-BUTANONE, 3-HYDROXY; 1-HYDROXETHYL METHYL KETONE; 3-hydroxybutan-2-one, (+-); acetoin, (+-); acetoin, dl; acetylmethylmethanol",FLAVORING AGENT OR ADJUVANT
94089-23-3,ACETOIN PROPYLENEGLYCOL KETAL,"ACETOIN PROPYLENE GLYCOL ACETAL; 1,3-dioxolane-2-methanol, alpha,2,4-trimethyl; alpha,2,4-trimethyl-1,3-dioxolane-2-methanol",FLAVORING AGENT OR ADJUVANT
977164-02-5,ALPHA-ACETOLACTATE DECARBOXYLASE ENZYME PREPARATION FROM BACILLUS SUBTILIS RECOMBINANT,"ACETOLACTATE DECARBOXYLASE, BACILLUS SUBTILIS, RECOMBINANT; ALPHA-ACETOLACTATE DECARBOXYLASE, BACILLUS SUBTILIS, RECOMBINANT; BACILLUS SUBTILIS ACETOLACTATE DECARBOXYLASE, RECOMBINANT",ENZYME
28060-90-4,ACETOLEIN,"DIACETOOLEIN; GLYCERYL DIACETATE MONOOLEATE; GLYCERYL MONOOLEATE, DIACETYLATED; GLYCERYL DIACETATE OLEATE; OLEODIACETIN; 9-OCTADECENOIC ACID (Z)-, ESTER WITH 1,2,3-PROPANETRIOL DIACETATE; ACETIN, OLEODI; OLEIN, DIACETO; 1,2,3-PROPANETRIYL DIACETATE (Z)-9-OCTADECENOATE; DIACETYLMONOOLEIN; DIACETYLOLEOYLGLYCEROL",
67-64-1,ACETONE,ACETONE; DIMETHYL KETONE; BETA-KETOPROPANE; PYROACETIC ETHER; 2-OXOPROPANE; 2-PROPANONE; METHYL KETONE; DIMETHYLFORMALDEHYDE,FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT; SOLVENT OR VEHICLE; WASHING OR SURFACE REMOVAL AGENT
1336-17-0,ACETONE PEROXIDES,"ACETONE PEROXIDES; 2-PROPANONE, PEROXIDE; 2-PROPANONE PEROXIDE; ACETONE PEROXIDE; TRIACETONE PEROXIDE",
98-86-2,ACETOPHENONE,"ACETOPHENONE; ACETYLBENZENE; ACETYLBENZOL; BENZOYLMETHIDE; HYPNONE; METHYL PHENYL KETONE; PHENYL METHYL KETONE; 1-PHENYLETHANONE; ETHANONE, 1-PHENYL",FLAVORING AGENT OR ADJUVANT; SOLVENT OR VEHICLE
27177-85-1,ACETOSTEARIN,"ACETOMONOSTEARIN; OCTDECANOIC ACID, MONOESTER WITH 1,2,3-PROPANETRIOL MONOACETATE; 1,2,3-PROPANETRIOL MONOACETATE MONOCTADECANOATE; STEARIN, ACETO; GLYCEROL MONOACETATE MONOSTEARATE; GLYCERYL MONOSTEARATE, MONOACETYLATED; STEAROMONOACETIN",
72541-09-4,6-ACETOXYDIHYDROTHEASPIRANE,"6-ACETOXYDIHYDROTHEASPIRANE; 2,6,10,10-TETRAMETHYL-1-OXASPIRO(4.5)DECAN-6-YL ACETATE; 1-OXASPIRO(4.5)DECAN-6-OL, 2,6,10,10-TETRAMETHYL-, ACETATE",FLAVORING AGENT OR ADJUVANT
4166-20-5,"4-ACETOXY-2,5-DIMETHYL-3(2H)-FURANONE","4-ACETOXY-2,5-DIMETHYL-3(2H)-FURANONE; 3(2H)-FURANONE, 4-(ACETYLOXY)-2,5-DIMETHYL; 3(2H)-FURANONE, 4-HYDROXY-2,5-DIMETHYL-, ACETATE; 4-(ACETYLOXY)-2,5-DIMETHYL-3(2H)-FURANONE; 4-HYDROXY-2,5-DIMETHYL-3(2H)-FURANONE ACETATE",FLAVORING AGENT OR ADJUVANT
1608-72-6,(+/-)-1-ACETOXY-1-ETHOXYETHANE,"1-ETHOXYETHYL ACETATE; ACETIC ACID, 1-ETHOXYETHYL ESTER; 1-ETHOXY-1-ETHYL ACETATE; 1-acetoxy-1-ethoxyethane; InChI=1S/C6H12O3/c1-4-8-6(3)9-5(2)7/h6H,4H2,1-3H3; InChIKey: FAIARWOGQAQTPS-UHFFFAOYSA-N",FLAVORING AGENT OR ADJUVANT
3572-06-3,4-(P-ACETOXYPHENYL)-2-BUTANONE,"4-(P-HYDROXYPHENYL)-2-BUTANONE ACETATE; 2-BUTANONE, 4-(4-(ACETYLOXY)PHENYL); 2-BUTANONE, 4-(P-HYDROXYPHENYL)-, ACETATE; 4-(P-ACETOXYPHENYL)-2-BUTANONE; 4-(4-ACETYLOXYPHENYL)-2-BUTANONE",FLAVORING AGENT OR ADJUVANT
164524-93-0,"5-ACETYL-2,3-DIHYDRO-1,4-THIAZINE","5-ACETYL-2,3-DIHYDRO-1,4-THIAZINE; ethanone, 1-(3,4-dihydro-2H-1,4-thiazin-5-yl); 1-(3,4-dihydro-2H-1,4-thiazin-5-yl)ethanone; InChI=1S/C6H9NOS/c1-5(8)6-4-9-3-2-7-6/h4,7H,2-3H2,1H3; InChIKey: YJSKAAVPUSXIPL-UHFFFAOYSA-N",FLAVORING AGENT OR ADJUVANT
22940-86-9,"2-ACETYL-3,5-DIMETHYLFURAN","2-ACETYL-3,5-DIMETHYLFURAN; ethanone, 1-(3,5-dimethyl-2-furanyl); ketone, 3,5-dimethyl-2-furyl methyl; 1-(3,5-dimethyl-2-furanyl)-ethanone; 3,5-dimethyl-2-furyl methyl ketone",FLAVORING AGENT OR ADJUVANT
10599-70-9,"3-ACETYL-2,5-DIMETHYLFURAN","3-ACETYL-2,5-DIMETHYLFURAN; ETHANONE, 1-(2,5-DIMETHYL-3-FURANYL); KETONE, 2,5-DIMETHYL-3-FURYL METHYL; 2,5-DIMETHYL-3-ACETYLFURAN; 1-(2,5-DIMETHYL-3-FURANYL)ETHANONE; 2,5-DIMETHYL-3-FURYL METHYL KETONE",FLAVORING AGENT OR ADJUVANT
36871-78-0,"4-ACETYL-2,5-DIMETHYL-3(2H)-FURANONE","4-ACETYL-2,5-DIMETHYL-3(2H)-FURANONE; 3(2H)-furanone, 4-acetyl-2,5-dimethyl",FLAVORING AGENT OR ADJUVANT
977043-63-2,"2-ACETYL-3, 5(OR 6)-DIMETHYLPYRAZINE, MIXTURE OF ISOMERS","2-ACETYL-3,5(OR 6)-DIMETHYLPYRAZINE",FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT
32974-92-8,2-ACETYL-3-ETHYLPYRAZINE,"2-ACETYL-3-ETHYLPYRAZINE; ETHANONE, 1-(3-ETHYLPYRAZINYL); 2-ACETYL-3-ETHYL-1,4-DIAZINE; 1-(3-ETHYLPYRAZINYL)ETHANONE",FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT
142896-11-5,2-ACETYL-4-ISOPROPENYLPYRIDINE,"2-ACETYL-4-ISPROPENYLPYRIDINE; ethanone, 1-(4-(1-methylethenyl)-2-pyridinyl); 1-(4-(1-methylethenyl)-2-pyridinyl)ethanone; 2-acetyl-4-(1-methylethenyl)pyridine",FLAVORING AGENT OR ADJUVANT
142896-12-6,4-ACETYL-2-ISOPROPENYLPYRIDINE,"4-ACETYL-2-ISOPROPENYLPYRIDINE; ethanone, 1-(2-(1-methylethenyl)-4-pyridinyl); 1-(2-(1-mehtyethenyl)-4-pyridinyl)ethanone; 4-acetyl-2-(1-methylethenyl)pyridine",FLAVORING AGENT OR ADJUVANT
142896-09-1,2-ACETYL-4-ISOPROPYLPYRIDINE,"2-ACETYL-4-ISOPROPYLPYRIDINE; ethanone, 1-(4-(1-methylethyl)-2-pyridinyl); 1-(4-(1-methylethyl)-2-pyridinyl)ethanone; 2-acetyl-4-(1-methylethyl)pyridine",FLAVORING AGENT OR ADJUVANT
136954-25-1,3-ACETYLMERCAPTOHEXYL ACETATE,"3-ACETYLMERCAPTOHEXYL ACETATE; ETHANETHIOIC ACID, S-(1-(2-(ACETYLOXY)ETHYL)BUTYL) ESTER; S-(1-(2-(ACETYLOXY)ETHYL)BUTYL) ETHANETHIOATE; 3-ACETYLTHIOHEXYL ACETATE; 3-ACETYLTHIOHEXYL ETHANOATE",FLAVORING AGENT OR ADJUVANT
65-82-7,N-ACETYL-L-METHIONINE,"N-ACETYL-L-METHIONINE; ACETYLMETHIONINE; L-METHIONINE, N-ACETYL; METHIONINE, N-ACETYL-, L; N-ACETYLMETHIONINE; N-ACETYLMETHIONINE, L",NUTRIENT SUPPLEMENT
4906-24-5,ACETYL METHYL CARBINYL ACETATE,"ACETOIN ACETATE; ACETYL METHYL CARBINYL ACETATE; 3-(ACETYLOXY)-2-BUTANONE; 3-HYDROXY-2-BUTANONE ACETATE; 2-ACETOXY-3-BUTANONE; 2-BUTANON-3-YL ACETATE; 2-BUTANONE, 3-(ACETYLOXY); 2-BUTANONE, 3-HYDROXY-, ACETATE",FLAVORING AGENT OR ADJUVANT
1193-79-9,2-ACETYL-5-METHYLFURAN,"2-ACETYL-5-METHYLFURAN; ETHANONE, 1-(5-METHYL-2-FURANYL); METHYL 5-METHYL-2-FURYL KETONE; KETONE, METHYL 5-METHYL-2-FURYL; 1-(5-METHYL-2-FURYL)ETHANONE; 1-(5-METHYL-2-FURANYL)ETHANONE",FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT
23787-80-6,2-ACETYL-3-METHYLPYRAZINE,"2-ACETYL-3-METHYLPYRAZINE; ETHANONE, 1-(3-METHYLPYRAZINYL); KETONE, METHYL 3-METHYLPYRAZINYL; METHYL 3-METHYLPYRAZINYL KETONE; 1-(3-METHYLPYRAZINYL)ETHAN-1-ONE; 2-METHYL-3-ACETYLPYRAZINE; 3-ACETYL-2-METHYLPYRAZINE",FLAVORING AGENT OR ADJUVANT
67860-38-2,4-ACETYL-2-METHYLPYRIMIDINE,"4-ACETYL-2-METHYLPYRIMIDINE; ETHANONE, 1-(2-METHYL-4-PYRIMIDINYL); 1-(2-METHYL-4-PYRIMIDINYL)ETHANONE",FLAVORING AGENT OR ADJUVANT
13679-74-8,2-ACETYL-5-METHYLTHIOPHENE,"2-ACETYL-5-METHYLTHIOPHENE; ethanone, 1-(5-methyl-2-thienyl); 1-(5-methyl-2-thienyl)ethanone; ketone, methyl 5-methyl-2-thienyl; methyl 5-methyl-2-thienyl ketone; 2-methyl-5-acetylthiopene",FLAVORING AGENT OR ADJUVANT
22047-25-2,ACETYLPYRAZINE,"ACETYLPYRAZINE; METHYL PYRAZINYL KETONE; ETHANONE, 1-PYRAZINYL; 1-PYRAZINYLETHANONE; KETONE, METHYL PYRAZINYL; 2-ACETYLPYRAZINE",FLAVORING AGENT OR ADJUVANT
1122-62-9,2-ACETYLPYRIDINE,"METHYL 2-PYRIDYL KETONE; ETHANONE, 1-(2-PYRIDINYL); KETONE, METHYL 2-PYRIDYL; 2-ACETYLPYRIDINE; 2-ACETOPYRIDINE; 1-(2-PYRIDINYL)ETHANONE",FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT
350-03-8,3-ACETYLPYRIDINE,"METHYL 3-PYRIDYL KETONE; BETA-ACETYLPYRIDINE; ETHANONE, 1-(3-PYRIDINYL); METHYL BETA-PYRIDYL KETONE; METHYL PYRIDYL KETONE; KETONE, METHYL 3-PYRIDYL; 3-ACETYLPYRIDINE; 1-(3-PYRIDINYL)ETHANONE; 3-ACETOPYRIDINE",FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT
99583-29-6,2-ACETYL-1-PYRROLINE,"2-ACETYL-1-PYRROLINE; 1-(3,4-dihydro-2H-pyrrol-2-yl)ethanone; ethanone, 1-(3,4-dihydro-2H-pyrrol-2-yl)",FLAVORING AGENT OR ADJUVANT
13171-00-1,"4-ACETYL-6-TERT-BUTYL-1,1-DIMETHYLINDANE","4-ACETYL-6-TERT-BUTYL-1,1-DIMETHYLINDANE; ETHANONE, 1-(6-(1,1-DIMETHYLETHYL)-2,3-DIHYDRO-1,1-DIMETHYL-1H-INDEN-4-YL); KETONE, 6-TERT-BUTYL-1,1-DIMETHYL-4-INDANYL METHYL; 1-(6-(1,1-DIMETHYLETHYL)-2,3-DIHYDRO-1,1-DIMETHYL-1H-INDEN-4-YL)ETHANONE; 6-TERT-BUTYL-1,1-DIMETHYL-4-INDANYL METHYL KETONE",FLAVORING AGENT OR ADJUVANT
24295-03-2,2-ACETYLTHIAZOLE,"2-ACETYLTHIAZOLE; METHYL 2-THIAZOLYL KETONE; 2-THIAZOLYL METHYL KETONE; ETHANONE, 1-(2-THIAZOLYL); 1-(2-THIAZOLYL)ETHANONE; KETONE, METHYL 2-THIAZOLYL; 5-ACETYLTHIAZOLE; METHYL 5-THIAZOLYL KETONE",ANTIOXIDANT; FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT; PROCESSING AID; SURFACE-FINISHING AGENT
29926-41-8,2-ACETYL-2-THIAZOLINE,"2-ACETYL-2-THIAZOLINE; ACETYLTHIAZOLINE-2; ETHANONE, 1-(4,5-DIHYDRO-2-THIAZOLYL); KETONE, METHYL 2-THIAZOLIN-2-YL; METHYL 2-THIAZOLIN-2-YL KETONE; 1-(4,5-DIHYDRO-2-THIAZOLYL)ETHANONE; 2-ACETYLTHIAZOLINE; 2-ACETYL-4,5-DIHYDROTRIAZOLE",FLAVORING AGENT OR ADJUVANT
55764-25-5,3-(ACETYLTHIO)-2-METHYLFURAN,"3-(ACETYLTHIO)-2-METHYLFURAN; ETHANETHIOIC ACID, S-(2-METHYL-3-FURANYL) ESTER",FLAVORING AGENT OR ADJUVANT
107-02-8,ACROLEIN,ACROLEIN; ACRALDEHYDE; ACRYLIC ALDEHYDE; ALLYL ALDEHYDE; PROPENAL; 2-PROPENAL; ACRYLALDEHYDE; 2-PROPEN-1-ONE; PROP-2-ENAL,ANTIMICROBIAL AGENT
9003-06-9,ACRYLAMIDE-ACRYLIC ACID RESIN,"POLY(ACRYLAMIDE-CO-ACRYLIC ACID); ACRYLAMIDE-ACRYLIC ACID COPOLYMER; ACRYLAMIDE-ACRYLIC ACID POLYMER; ACRYLAMIDE-ACRYLIC ACID RESIN; ACRYLIC ACID, POLYMER WITH ACRYLAMIDE; HYDROLYZED POLYACRYLAMIDE; POLYACRYLAMIDE, HYDROLYZED; POLYACRYLAMIDE, PARTIALLY HYDROLYZED; POLY(2-PROPENAMIDE-CO-2-PROPENOIC ACID); 2-PROPENOIC ACID, POLYMER WITH 2-PROPENAMIDE; 2-PROPENAMIDE-2-PROPENOIC ACID POLYMER; 2-PROPENAMIDE, POLYMER WITH 2-PROPENOIC ACID",FLAVORING AGENT OR ADJUVANT; SURFACE-FINISHING AGENT
25085-02-3,ACRYLAMIDE-SODIUM ACRYLATE RESIN,"POLY(ACRYLAMIDE-CO-SODIUM ACRYLATE); ACRYLAMIDE-SODIUM ACRYLATE RESIN; ACRYLIC ACID, SODIUM SALT, POLYMER WITH ACRYLAMIDE; POLY(2-PROPENAMIDE-CO-SODIUM ACRYLATE); POLY(2-PROPENAMIDE-CO-SODIUM 2-PROPENOATE); SODIUM POLYACRYLATE-ACRYLAMIDE RESIN; SODIUM ACRYLATE-ACRYLAMIDE COPOLYMER; 2-PROPENOIC ACID, SODIUM SALT, POLYMER WITH 2-PROPENAMIDE; 2-PROPENAMIDE-SODIUM 2-PROPENOATE COPOLYMER",BOILER WATER ADDITIVE
40623-75-4,ACRYLIC ACID-2-ACRYLAMIDO-2-METHYL PROPANE SULFONIC ACID COPOLYMER,"POLY(ACRYLAMIDOMETHYLPROPANESULFONIC ACID-CO-ACRYLIC ACID); ACRYLIC ACID-2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID COPOLYMER; POLY(2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID-CO-ACRYLIC ACID); POLY(ACRYLIC ACID-CO-2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID); POLY(2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID-CO-2-PROPENOIC ACID); 2-PROPENOIC ACID, POLYMER WITH 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID; 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID-2-PROPENOIC ACID COPOLYMER",BOILER WATER ADDITIVE
64365-11-3,ACTIVATED CARBON,"CHARCOAL, ACTIVATED; ACTIVATED CHARCOAL; ACTIVATED CARBON; CARBON, ACTIVATED; ACTIVE CARBON",PROCESSING AID
2035-75-8,ADIPIC ANHYDRIDE,"ADIPIC ANHYDRIDE; 2,7-OXEPANEDIONE; BUTANEDICARBOXYLIC ANHYDRIDE; HEXANEDIOIC ACID ANHYDRIDE; HEXANEDIOIC ANHYDRIDE",FLAVORING AGENT OR ADJUVANT; LEAVENING AGENT; PH CONTROL AGENT
714229-20-6,ADVANTAME,"ADVANTAME; 2-methyl N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-L-phenylalanine monohydrate; 2-methyl N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-L-phenylalanate monohydrate; L-phenylalanine, N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-, 2-methyl ester, hydrate (1:1); L-phenylalanine, N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-, 2-methyl ester, monohydrate; 2-methyl N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-L-phenylalanine hydrate (1:1)",NON-NUTRITIVE SWEETENER
107-95-9,BETA-ALANINE,"ALANINE, BETA; BETA-AMINOPROPIONIC ACID; 3-AMINOPROPANOIC ACID; BETA-ALANINE; 2-CARBOXYETHYLAMINE; 3-AMINOPROPIONIC ACID",FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT; NUTRIENT SUPPLEMENT
302-72-7,DL-ALANINE,"ALANINE, DL; DL-ALANINE; 2-AMINOPROPANOIC ACID, DL; ALANINE, DL-ALPHA; ALANINE, (+-); ALANINE, (R,S)",FLAVORING AGENT OR ADJUVANT
56-41-7,L-ALANINE,"ALANINE, L; ALANINE, ALPHA; ALANINE, L-ALPHA; AMINOPROPIONIC ACID, L-ALPHA; 2-AMINOPROPANOIC ACID, L; L-ALANINE; ALANINE, (S); ALANINE, L-(+); ALANINE, (S)-(+); 2-AMINOPROPANOIC ACID, (S)",NUTRIENT SUPPLEMENT
39537-23-0,L-ALANYL-L-GLUTAMINE,"ALANYL-GLUTAMINE; L-alanyl-L-glutamine; Ala-Gln; alanylglutamine; L-glutamine, L-alanyl; glutamine, N2-L-alanyl; InChI=1/C8H15N3O4/c1-4(9)7(13)11-5(8(14)15)2-3-6(10)12/h4-5H,2-3,9H2,1H3,(H2,10,12)(H,11,13)(H,14,15)/t4-,5-/m0/s1; InChIKey: HJCMDXDYPOUFDY-WHFBIAKZSA-N; N2-L-alanylglutamine",FLAVORING AGENT OR ADJUVANT
977005-72-3,ALBUMIN,ALBUMIN; ALBUMINS,FIRMING AGENT; FORMULATION AID; NUTRIENT SUPPLEMENT; PROCESSING AID; PROPELLANT; STABILIZER OR THICKENER; SURFACE-ACTIVE AGENT; SURFACE-FINISHING AGENT; TEXTURIZER
977021-64-9,"ALCOHOL, DENATURED FORMULA 23A","ALCOHOL, SPECIALLY DENATURED # 23A; ALCOHOL, DENATURED FORMULA 23A",PROCESSING AID
977021-59-2,ALCOHOL SDA-3A,"ALCOHOL, SPECIALLY DENATURED # 3A; ALCOHOL SDA-3A; ALCOHOL, DENATURED 3A",PROCESSING AID
84082-36-0,"ALFALFA, EXTRACT (MEDICAGO SATIVA L.)","ALFALFA EXTRACT; LUCERNE EXTRACT; MEDICAGO SATIVA EXTRACT; ALFALFA, EXT.",FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT
977092-93-5,"ALFALFA, HERB AND SEED (MEDICAGO SATIVA L.)",ALFALFA HERB AND SEED,FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT
977161-38-8,"ALGAE, BROWN, EXTRACT (MACROCYSTIS AND LAMINARIA SPP.)","ALGAE EXTRACT, BROWN; BROWN ALGAE EXTRACT",FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT
977090-04-2,"ALGAE, RED, EXTRACT (PORPHYRA SPP. AND GLOIOPELTIS FURCATA AND RHODYMENIA PALMATA (L.))","ALGAE EXTRACT, RED; RED ALGAE EXTRACT",FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT
12698-40-7,"ALGINATE, SODIUM CALCIUM","CALCIUM SODIUM ALGINATE; ALGINIC ACID, CALCIUM SODIUM SALT; SODIUM CALCIUM ALGINATE",EMULSIFIER OR EMULSIFIER SALT; FIRMING AGENT; FLAVOR ENHANCER; FORMULATION AID; PROCESSING AID; STABILIZER OR THICKENER; SURFACE-ACTIVE AGENT; TEXTURIZER
